type	time	latitude	longitude	altitude (m)	hr	cadence	name	desc
T	2018-06-02 08:30:16	47.050853000	7.035115000	436.7	97	81.0	Cressier Chaumont 2018	
T	2018-06-02 08:30:17	47.050873000	7.035093000	436.9	99	81.0		
T	2018-06-02 08:30:19	47.050904000	7.035044000	437.1	102	80.0		
T	2018-06-02 08:30:23	47.050977000	7.034967000	437.4	99	82.0		
T	2018-06-02 08:30:26	47.051031000	7.034901000	437.9	96	83.0		
T	2018-06-02 08:30:29	47.051083000	7.034845000	438.4	91	84.0		
T	2018-06-02 08:30:31	47.051141000	7.034822000	439.0	87	83.0		
T	2018-06-02 08:30:34	47.051228000	7.034831000	439.2	84	83.0		
T	2018-06-02 08:30:41	47.051412000	7.034945000	439.8	84	84.0		
T	2018-06-02 08:30:47	47.051524000	7.035080000	440.3	87	84.0		
T	2018-06-02 08:30:54	47.051646000	7.035200000	440.8	88	84.0		
T	2018-06-02 08:30:56	47.051686000	7.035190000	441.0	91	84.0		
T	2018-06-02 08:30:58	47.051725000	7.035137000	441.0	94	82.0		
T	2018-06-02 08:31:02	47.051792000	7.035028000	441.3	98	83.0		
T	2018-06-02 08:31:04	47.051826000	7.034974000	441.5	102	83.0		
T	2018-06-02 08:31:05	47.051846000	7.034948000	441.6	105	83.0		
T	2018-06-02 08:31:06	47.051860000	7.034924000	441.7	105	83.0		
T	2018-06-02 08:31:08	47.051893000	7.034890000	441.8	113	83.0		
T	2018-06-02 08:31:09	47.051909000	7.034869000	441.9	117	83.0		
T	2018-06-02 08:31:10	47.051927000	7.034844000	442.0	117	83.0		
T	2018-06-02 08:31:11	47.051944000	7.034821000	442.0	123	83.0		
T	2018-06-02 08:31:12	47.051961000	7.034795000	442.1	123	83.0		
T	2018-06-02 08:31:14	47.051992000	7.034749000	442.3	128	83.0		
T	2018-06-02 08:31:16	47.052027000	7.034703000	442.4	132	83.0		
T	2018-06-02 08:31:17	47.052044000	7.034678000	442.5	137	83.0		
T	2018-06-02 08:31:18	47.052060000	7.034657000	442.6	137	84.0		
T	2018-06-02 08:31:19	47.052079000	7.034637000	442.7	140	84.0		
T	2018-06-02 08:31:21	47.052113000	7.034589000	442.8	143	83.0		
T	2018-06-02 08:31:27	47.052219000	7.034442000	443.0	148	84.0		
T	2018-06-02 08:31:35	47.052361000	7.034263000	443.0	149	84.0		
T	2018-06-02 08:31:42	47.052481000	7.034104000	455.0	152	85.0		
T	2018-06-02 08:31:44	47.052524000	7.034090000	459.6	152	85.0		
T	2018-06-02 08:31:49	47.052604000	7.034244000	457.8	155	83.0		
T	2018-06-02 08:31:56	47.052743000	7.034428000	455.0	155	82.0		
T	2018-06-02 08:31:58	47.052772000	7.034479000	453.9	158	82.0		
T	2018-06-02 08:32:05	47.052868000	7.034722000	448.0	158	83.0		
T	2018-06-02 08:32:06	47.052877000	7.034763000	447.9	155	83.0		
T	2018-06-02 08:32:09	47.052903000	7.034846000	447.7	152	84.0		
T	2018-06-02 08:32:12	47.052913000	7.034920000	447.6	151	84.0		
T	2018-06-02 08:32:16	47.052850000	7.035038000	447.1	151	84.0		
T	2018-06-02 08:32:23	47.052747000	7.035261000	446.5	150	85.0		
T	2018-06-02 08:32:31	47.052686000	7.035527000	446.0	150	85.0		
T	2018-06-02 08:32:35	47.052550000	7.035743000	443.1	149	85.0		
T	2018-06-02 08:32:40	47.052396000	7.035952000	440.0	150	85.0		
T	2018-06-02 08:32:45	47.052301000	7.036105000	440.3	146	86.0		
T	2018-06-02 08:32:52	47.052146000	7.036293000	440.1	145	85.0		
T	2018-06-02 08:32:57	47.052104000	7.036488000	440.3	147	85.0		
T	2018-06-02 08:33:04	47.052179000	7.036764000	440.8	150	83.0		
T	2018-06-02 08:33:09	47.052248000	7.036947000	440.7	147	84.0		
T	2018-06-02 08:33:16	47.052320000	7.037222000	440.4	147	84.0		
T	2018-06-02 08:33:23	47.052362000	7.037490000	440.5	149	85.0		
T	2018-06-02 08:33:25	47.052364000	7.037513000	440.6	148	85.0		
T	2018-06-02 08:33:33	47.052538000	7.037394000	441.2	148	84.0		
