type	time	latitude	longitude	altitude (m)	hr	cadence	name	desc
T	2018-05-26 08:30:12	46.785671000	6.642499000	431.7	97	0	Fyne Terra 2018	
T	2018-05-26 08:30:13	46.785653000	6.642478000	431.6	98	70		
T	2018-05-26 08:30:17	46.785565000	6.642408000	431.4	95	81		
T	2018-05-26 08:30:22	46.785435000	6.642308000	431.0	92	88		
T	2018-05-26 08:30:26	46.785325000	6.642287000	431.0	95	86		
T	2018-05-26 08:30:32	46.785205000	6.642398000	431.0	92	84		
T	2018-05-26 08:30:39	46.785090000	6.642628000	432.1	94	85		
T	2018-05-26 08:30:44	46.785003000	6.642800000	433.0	101	84		
T	2018-05-26 08:30:45	46.784983000	6.642835000	433.0	105	85		
T	2018-05-26 08:30:46	46.784963000	6.642872000	433.0	108	85		
T	2018-05-26 08:30:48	46.784924000	6.642944000	433.0	113	85		
T	2018-05-26 08:30:49	46.784905000	6.642979000	433.0	117	85		
T	2018-05-26 08:30:50	46.784887000	6.643015000	433.0	120	86		
T	2018-05-26 08:30:51	46.784869000	6.643049000	433.0	124	87		
T	2018-05-26 08:30:52	46.784850000	6.643086000	433.0	128	87		
T	2018-05-26 08:30:53	46.784830000	6.643124000	432.9	133	87		
T	2018-05-26 08:30:54	46.784810000	6.643160000	432.7	133	86		
T	2018-05-26 08:30:55	46.784794000	6.643199000	432.5	139	86		
T	2018-05-26 08:30:58	46.784770000	6.643324000	431.1	143	86		
T	2018-05-26 08:31:04	46.784805000	6.643565000	431.2	146	85		
T	2018-05-26 08:31:10	46.784963000	6.643719000	431.4	148	86		
T	2018-05-26 08:31:16	46.785117000	6.643852000	431.5	151	86		
T	2018-05-26 08:31:23	46.785297000	6.644001000	431.6	150	87		
T	2018-05-26 08:31:29	46.785451000	6.644146000	431.7	151	87		
T	2018-05-26 08:31:36	46.785622000	6.644303000	431.8	152	85		
T	2018-05-26 08:31:43	46.785786000	6.644463000	431.9	153	85		
T	2018-05-26 08:31:50	46.785949000	6.644619000	431.9	153	86		
T	2018-05-26 08:31:57	46.786115000	6.644764000	432.0	152	86		
T	2018-05-26 08:32:04	46.786282000	6.644720000	432.1	152	86		
T	2018-05-26 08:32:11	46.786392000	6.644474000	432.2	152	87		
T	2018-05-26 08:32:18	46.786497000	6.644240000	432.5	151	87		
T	2018-05-26 08:32:25	46.786604000	6.643982000	432.8	151	88		
T	2018-05-26 08:32:31	46.786700000	6.643756000	433.0	153	88		
T	2018-05-26 08:32:37	46.786793000	6.643527000	432.8	154	88		
T	2018-05-26 08:32:44	46.786904000	6.643270000	432.7	153	88		
T	2018-05-26 08:32:51	46.787018000	6.643024000	432.6	154	88		
T	2018-05-26 08:32:58	46.787123000	6.642763000	432.5	154	88		
